time,distance,spm,power,pace,calhr,calories,heartrate,status,,,,,,,,,,,,,,,,,,,,
49.26,21.8,56,34,217.53528398945562,417.0144,0,96,9,,22,2,5,634,168,530059078,120,120,50,9,,0,8,4,0,0,9,,9
49.02,22.3,56,34,217.53528398945562,417.0144,0,95,9,,22,2,5,634,168,530059078,120,120,50,9,,0,8,4,0,0,9,,9
48.86,22.5,56,34,217.53528398945562,417.0144,0,95,9,,22,2,5,634,168,530059078,120,120,50,9,,0,8,4,0,0,9,,9
48.61,23.0,56,34,217.53528398945562,417.0144,0,95,9,,22,2,5,634,168,530059078,120,120,50,9,,0,8,4,0,0,9,,9
48.44,23.3,56,34,217.53528398945562,417.0144,0,95,9,,22,2,5,634,168,530059078,120,120,50,9,,0,8,4,0,0,9,,9
48.23,23.6,56,34,217.53528398945562,417.0144,0,95,9,,22,2,5,634,168,530059078,120,120,50,9,,0,8,4,0,0,9,,9
48.01,24.0,56,34,217.53528398945562,417.0144,0,94,9,,22,2,5,634,168,530059078,120,120,50,9,,0,8,4,0,0,9,,9
47.79,24.3,56,34,217.53528398945562,417.0144,0,94,9,,22,2,5,634,168,530059078,120,120,50,9,,0,8,4,0,0,9,,9
47.62,24.6,56,34,217.53528398945562,417.0144,0,94,9,,22,2,5,634,168,530059078,120,120,50,9,,0,8,4,0,0,9,,9
47.39,25.0,56,34,217.53528398945562,417.0144,0,94,9,,22,2,5,634,168,530059078,120,120,50,9,,0,8,4,0,0,9,,9
47.17,25.4,56,34,217.53528398945562,417.0144,0,94,9,,22,2,5,634,168,530059078,120,120,50,9,,0,8,4,0,0,9,,9
46.98,25.6,56,34,217.53528398945562,417.0144,0,93,9,,22,2,5,634,168,530059078,120,120,50,9,,0,8,4,0,0,9,,9
46.75,26.0,56,34,217.53528398945562,417.0144,0,93,9,,22,2,5,634,168,530059078,120,120,50,9,,0,8,4,0,0,9,,9
46.56,26.3,56,34,217.53528398945562,417.0144,1,93,1,,22,2,5,634,168,530059078,120,120,50,1,,0,8,11,0,0,1,,1
46.41,26.3,56,34,217.53528398945562,417.0144,1,93,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,11,0,0,1,,1
46.41,26.3,56,34,217.53528398945562,417.0144,1,92,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,11,0,0,1,,1
46.41,26.3,56,34,217.53528398945562,417.0144,1,92,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,11,0,0,1,,1
46.41,26.3,56,34,217.53528398945562,417.0144,1,92,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,11,0,0,1,,1
46.41,26.3,56,34,217.53528398945562,417.0144,1,92,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,11,0,0,1,,1
46.41,26.3,56,34,217.53528398945562,417.0144,1,92,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,11,0,0,1,,1
46.41,26.3,56,0,0,0,1,91,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,13,0,0,1,,1
46.41,26.3,56,34,217.53528398945562,417.0144,1,91,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,13,0,0,1,,1
46.41,26.3,56,34,217.53528398945562,417.0144,1,91,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,13,0,0,1,,1
46.41,26.3,56,34,217.53528398945562,417.0144,1,91,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
13.58,26.3,0,0,0,0,0,91,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
13.58,26.3,0,0,0,0,0,90,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
13.58,26.3,0,0,0,0,0,90,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
13.58,26.3,0,0,0,0,0,90,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
13.58,26.3,0,0,0,0,0,90,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
13.58,26.3,0,0,0,0,0,90,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
13.58,26.3,0,0,0,0,0,90,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
13.58,26.3,0,0,0,0,0,88,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
0.0,0.0,0,0,0,0,0,88,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
0.0,0.0,0,0,0,0,0,88,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
0.0,0.0,0,0,0,0,0,88,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
0.0,0.0,0,0,0,0,0,88,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
0.0,0.0,0,0,0,0,0,88,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
0.0,0.0,0,0,0,0,0,88,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
0.0,0.0,0,0,0,0,0,88,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
0.0,0.0,0,0,0,0,0,88,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
0.0,0.0,0,0,0,0,0,88,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
0.0,0.0,0,0,0,0,0,88,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
0.0,0.0,0,0,0,0,0,88,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
0.0,0.0,0,0,0,0,0,88,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
0.0,0.0,0,0,0,0,0,88,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
0.0,0.0,0,0,0,0,0,88,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
0.0,0.0,0,0,0,0,0,88,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
0.0,0.0,0,0,0,0,0,88,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
0.0,0.0,0,0,0,0,0,88,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
0.0,0.0,0,0,0,0,0,90,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
0.0,0.0,0,0,0,0,0,90,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
0.0,0.0,0,0,0,0,0,90,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
0.0,0.0,0,0,0,0,0,90,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
0.0,0.0,0,0,0,0,0,90,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
0.0,0.0,0,0,0,0,0,90,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
0.0,0.0,0,0,0,0,0,90,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
0.0,0.0,0,0,0,0,0,90,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
0.0,0.0,0,0,0,0,0,90,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
0.0,0.0,0,0,0,0,0,90,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
